smiles,Ames Mutagenicity,group
O=C(Nc1ccc([N+](=O)[O-])cc1)c1csc([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1cc2ccc3cc4ccccc4c4ccc(c1)c2c34,1,test
Cc1cc([N+](=O)[O-])ccc1N,1,test
O=[N+]([O-])c1cc2cc(N(CCCl)CCCl)ccc2o1,1,test
CN(C)N=Nc1ccc([N+](=O)[O-])cc1,1,test
CCc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O,1,test
O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)C=CC(O)C4O,1,test
O=[N+]([O-])c1ccc(C=C=[N+]([O-])O)o1,1,test
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1[N+](=O)[O-],1,test
O=[N+]([O-])c1cc2cccc3c4ccccc4c4cccc1c4c23,1,test
O=[N+]([O-])c1cc2c3c(c1)CCc1c4c(cc(c1-3)CC2)CCCC4,1,test
O=[N+]([O-])c1ccc2[nH]ncc2c1,1,test
O=NN(c1ccc([N+](=O)[O-])cc1)C1OC(CO)C(O)C1O,1,test
O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])c4ccc1c2c34,1,test
O=[N+]([O-])c1ccc2c3cccc4ccc([N+](=O)[O-])c(c5cccc1c25)c43,1,test
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,1,test
CN(c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],1,test
O=[N+]([O-])c1cc2ccc3cc([N+](=O)[O-])cc4ccc(c1)c2c34,1,test
Cc1c([N+](=O)[O-])c2ccccc2c2ccc3ccccc3c12,1,test
O=[N+]([O-])c1c(-c2ccc(Cl)cc2)nc2sccn12,1,test
O=[N+]([O-])c1ccccc1SSC(Cl)=C(Cl)C(F)(F)F,1,test
COc1ccc(C(O)=Nc2ccccc2)cc1[N+](=O)[O-],1,test
CN(C)CCCN=c1c2ccccc2[nH]c2c(N(C)C)ccc([N+](=O)[O-])c12,1,test
O=[N+]([O-])c1cc2ccccc2c2ccccc12,1,test
O=[N+]([O-])c1ccc2ccc3c([N+](=O)[O-])cccc3c2c1,1,test
CCC(Cl)=[N+]([O-])O,1,test
O=[N+]([O-])c1cc(C(O)=Nc2cccc(Cl)c2)cs1,1,test
O=[N+]([O-])c1c(O)ccc2ccccc12,1,test
O=[N+]([O-])c1ccc2cc3c(cc2c1)C=CC(O)C3O,1,test
Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,test
CC(=O)OCc1ccc([N+](=O)[O-])cc1,1,test
O=C1c2ccccc2-c2ccc([N+](=O)[O-])cc21,1,test
O=[N+]([O-])c1ccc(OCC2CO2)cc1,1,test
N#Cc1cccc([N+](=O)[O-])c1,1,test
COP(=O)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,1,test
O=[N+]([O-])c1ccc2c([N+](=O)[O-])cc3ccccc3c2c1,1,test
[O-][N+](O)=C=Cc1ccccc1,1,test
COc1nsc2cc([N+](=O)[O-])ccc12,1,test
O=[N+]([O-])c1ccc2c(Cl)nsc2c1,1,test
O=[N+]([O-])c1cccc(N=C(O)c2csc([N+](=O)[O-])c2)c1,1,test
O=c1c2[nH]c3ccccc3c2nnn1N=Cc1ccc([N+](=O)[O-])cc1,1,test
O=C(O)c1cc2c(c3c1c([N+](=O)[O-])cc1c(O)cccc13)OCO2,1,test
C=COc1ccc([N+](=O)[O-])cc1,1,test
N#Cc1cccc(C=Cc2ccc([N+](=O)[O-])cc2)c1,1,test
O=[N+]([O-])c1cc2c3c(c1)CCc1cccc(c1-3)CC2,1,test
O=[N+]([O-])c1cc2ccc(N(CCCl)CCCl)cc2o1,1,test
O=[N+]([O-])c1ccc2c3c(cccc13)-c1cc3ccccc3cc1-2,1,test
Cn1c2ccccc2c2cc([N+](=O)[O-])ccc21,1,test
O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])cc3c2c1,1,test
CC(=O)Oc1c(OC(C)=O)c2c([N+](=O)[O-])ccc3c4ccccc4c4cccc1c4c23,1,test
[O-][N+](O)=CCl,1,test
O=[N+]([O-])c1ccc2c(c1)CCc1c-2ccc2c1CCCC2,1,test
CCC(=O)OCc1ccc([N+](=O)[O-])cc1,1,test
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,test
O=[N+]([O-])c1ccc(CO)c([N+](=O)[O-])c1,1,test
O=NN(c1ccc([N+](=O)[O-])cc1)C1OCC(O)C(O)C1O,1,test
N=C(O)c1csc([N+](=O)[O-])c1,1,test
O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21,1,test
O=[N+]([O-])c1ccc(N=C(O)c2cc(Cl)ccc2O)c(Cl)c1,1,test
CC(C)(C)OC(O)=NN=Cc1c[n+]([O-])c2ccccc2[n+]1[O-],1,test
O=C(O)Cc1ccccc1[N+](=O)[O-],1,test
O=C(O)CC=[N+]([O-])O,1,test
Cc1cn2c([N+](=O)[O-])c(-c3ccc([N+](=O)[O-])cc3)nc2s1,1,test
O=CC=Cc1ccc([N+](=O)[O-])cc1,1,test
O=[N+]([O-])c1ccc2ccc3c4ccccc4cc4ccc1c2c43,1,test
O=[N+]([O-])c1cccc(-c2ccc(O)c([N+](=O)[O-])c2)c1,1,test
CC(C)CN=C(O)C=Cc1ccc([N+](=O)[O-])o1,1,test
O=[N+]([O-])c1ccc(C=Cc2ccccc2)cc1,1,test
O=[N+]([O-])c1cccc2cnsc12,1,test
N#[N+]c1ccc([N+](=O)[O-])cc1,1,test
Cc1ccc([N+](=O)[O-])c(C)c1[N+](=O)[O-],1,test
O=Cc1ccc([N+](=O)[O-])cc1,1,test
O=[N+]([O-])c1ccc2oc3ccccc3c2c1,1,test
O=[N+]([O-])c1cc2c3ccccc3ccc2c2ccccc12,1,test
N#CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,test
NNc1ccc([N+](=O)[O-])cc1,1,test
CN(C)CCCN=c1c2ccccc2[nH]c2cc([N+](=O)[O-])ccc12,1,test
O=[N+]([O-])c1ccc(O)cc1[N+](=O)[O-],1,test
O=[N+]([O-])c1cc(C(O)=Nc2ccccc2[N+](=O)[O-])cs1,1,test
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,1,test
Cn1c([N+](=O)[O-])nc2ncc(-c3ccccc3)cc21,1,test
COc1ccc(N(CCCl)CCCl)c2oc([N+](=O)[O-])cc12,1,test
CCCCN(CCO[N+](=O)[O-])[N+](=O)[O-],1,test
O=C(O)c1ccccc1[N+](=O)[O-],1,test
O=[N+]([O-])c1cc2cccc3c4c(c5cccc1c5c23)CCCC4,1,test
CC(C)OC(=O)C=Cc1ccc([N+](=O)[O-])o1,1,test
O=[N+]([O-])c1ccc2ccc3ccc(O)c4ccc1c2c34,1,test
O=[N+]([O-])c1ccc(Nc2ccc(O)cc2)c([N+](=O)[O-])c1,1,test
Cc1ccc2ccccc2c1[N+](=O)[O-],1,test
O=CC=Cc1ccccc1[N+](=O)[O-],1,test
O=C(O)c1ccc([N+](=O)[O-])cc1,1,test
Cc1cc(N)cc([N+](=O)[O-])c1N,1,test
COc1cccc(C=Cc2ccc([N+](=O)[O-])cc2)c1,1,test
O=[N+]([O-])c1ccc2c(c1)c([N+](=O)[O-])cc1cccc([N+](=O)[O-])c12,1,test
O=[N+]([O-])c1cccc(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c1,1,test
Nc1ccc(Cc2ccc(N)cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1,test
Nc1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,1,test
O=[N+]([O-])C1=Cc2c3ccc4ccccc4c3cc3cccc1c23,1,test
Nc1ccc2[nH]c3ccccc3c2c1[N+](=O)[O-],1,test
Cc1cn2c(N=O)c(-c3ccc([N+](=O)[O-])cc3)nc2s1,1,test
O=[N+]([O-])C(Br)(Br)Br,1,test
O=[N+]([O-])c1ccc(-c2nc(N(CCO)CCO)c3ccccc3n2)s1,1,test
O=[N+]([O-])c1ccc2sncc2c1,1,test
O=[N+]([O-])c1ccc2c(ccc3ccc([N+](=O)[O-])cc32)c1,1,test
O=[N+]([O-])c1ccc2ccc3cc4ccccc4c4ccc1c2c34,1,test
O=[N+]([O-])c1ccc2c(c1)[nH]c1ccccc12,1,test
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,1,test
O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)C=CCC4,1,test
O=[N+]([O-])c1cc([N+](=O)[O-])c2c3c(c4cccc5ccc1c2c54)CCCC3,1,test
O=C(O)Cc1ccc([N+](=O)[O-])cc1,1,test
Cc1c([N+](=O)[O-])ccc2ccccc12,1,test
N=C(O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],1,test
O=[N+]([O-])c1ccc2c(c1)Oc1ccc([N+](=O)[O-])cc1O2,1,test
O=[N+]([O-])c1cccc(S(=O)(=O)OCC2CO2)c1,1,test
O=C1N=C(O)CN1N=Cc1ccc([N+](=O)[O-])o1,1,test
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1,test
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],1,test
Cc1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1,1,test
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1ccc2[nH]c3ccc([N+](=O)[O-])cc3c2c1,1,test
O=[N+]([O-])c1cc2cccc3ccc4cccc1c4c32,1,test
COc1ccc([N+](=O)[O-])cc1,1,test
O=[N+]([O-])c1ccc2nc3c([N+](=O)[O-])cccc3nc2c1,1,test
O=C(O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,test
O=[N+]([O-])c1ccc2c3c4c(cccc4c4ccccc4c13)C1OC21,1,test
Nc1c(Br)cc([N+](=O)[O-])cc1[N+](=O)[O-],1,test
[O-][N+](O)=C(Cl)Cl,1,test
Cc1ccc([N+](=O)[O-])cc1N,1,test
COc1ccc2oc([N+](=O)[O-])cc2c1N(CCCl)CCCl,1,test
O=[N+]([O-])c1c2c(cc3ccccc13)C(O)C(O)C=C2,1,test
O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,1,test
O=[N+]([O-])c1ccc2c3c1ccc1cccc(c13)C1OC21,1,test
O=[N+]([O-])c1ccc2nc3cc([N+](=O)[O-])ccc3nc2c1,1,test
Nc1ncnc2c1ncn2-c1ccc([N+](=O)[O-])cc1,1,test
Cn1c([N+](=O)[O-])nc2c3cccnc3ccc21,1,test
O=[N+]([O-])c1ccc(C=Cc2cccc([N+](=O)[O-])c2)cc1,1,test
O=[N+]([O-])c1ccc(Br)cc1,1,test
Cn1ccsc1=[N+]=Nc1c(-c2ccccc2)n(C)c2ccccc12,1,test
Cc1cc(N)c(C)c([N+](=O)[O-])c1N,1,test
O=[N+]([O-])c1ccc2c(c1)cc([N+](=O)[O-])c1ccc([N+](=O)[O-])cc12,1,test
O=[N+]([O-])c1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,1,test
Cc1c([N+](=O)[O-])cc(N)cc1[N+](=O)[O-],1,test
O=[N+]([O-])c1ccc2nc3ccc([N+](=O)[O-])cc3nc2c1,1,test
O=Cc1cccc([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1ccc2c(c1)-c1cc3ccccc3c3cccc-2c13,1,test
O=C1c2cc(S(=O)(=O)O)ccc2C(=O)c2c1cccc2[N+](=O)[O-],1,test
O=[N+]([O-])c1cccc2c1-c1cccc3c([N+](=O)[O-])ccc-2c13,1,test
CCOC(=O)C=Cc1ccc([N+](=O)[O-])o1,1,test
COCC(O)Cn1cc([N+](=O)[O-])nc1Cl,1,test
O=C(OCc1ccc([N+](=O)[O-])cc1)c1ccccc1,1,test
O=c1c(=O)c2c([N+](=O)[O-])ccc3ccc4cccc1c4c32,1,test
Cn1cc2ccc([N+](=O)[O-])cc2n1,1,test
O=[N+]([O-])c1ccc(C=NN2CCN=C2O)o1,1,test
O=[N+]([O-])c1ccc(NO)cc1,1,test
COc1cc(N)c([N+](=O)[O-])cc1N,1,test
CC(O)=Nc1ccc(Nc2ccc([N+](=O)[O-])cc2)cc1,1,test
O=[N+]([O-])c1ccc(Oc2ccc(N=C=S)cc2)cc1,1,test
O=[N+]([O-])c1ccc2c3c(c4c([N+](=O)[O-])ccc5ccc1c2c54)CCCC3,1,test
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1,test
O=[N+]([O-])c1ccc2c(c1)Oc1cc([N+](=O)[O-])ccc1O2,1,test
O=C(O)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1,1,test
Nc1[nH]c(-c2ccc([N+](=O)[O-])cc2)nc2ncnc1-2,1,test
O=[N+]([O-])c1c2ccccc2cc2ccccc12,1,test
COc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1,test
O=[N+]([O-])c1cccc2c1-c1cccc3cccc-2c13,1,test
O=Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1,test
O=[N+]([O-])c1cccc2c1cc([N+](=O)[O-])c1cccc([N+](=O)[O-])c12,1,test
CN(C(=O)c1csc([N+](=O)[O-])c1)c1ccccc1,1,test
Nc1ccc([N+](=O)[O-])cc1N,1,test
Cc1ccc([N+](=O)[O-])cc1N=O,1,test
COc1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1,1,test
Cc1cc([N+](=O)[O-])c(C)c2c1[nH]c1ccccc12,1,test
O=C(O)c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1ccc2ccc3cccc4c3c2c1C1OC41,1,test
O=[N+]([O-])c1ccc(-c2ccccc2)c([N+](=O)[O-])c1,1,test
CCCCCCN(N=O)C(=N)N[N+](=O)[O-],1,test
O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,1,test
O=[N+]([O-])C1=Cc2cccc3cccc1c23,1,test
O=[N+]([O-])C1=Cc2c3c1cccc3cc1ccc3ccccc3c21,1,test
N=C(O)C=Cc1ccc([N+](=O)[O-])o1,1,test
O=[N+]([O-])c1ccc2oc3ccc([N+](=O)[O-])cc3c2c1,1,test
Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2c1ncn2C1CC(O)C(CO)O1,1,test
Nc1ccc(Sc2ccc([N+](=O)[O-])cc2)cc1,1,test
O=[N+]([O-])c1ccc(-c2nc3n(c2[N+](=O)[O-])CCS3)cc1,1,test
O=C(O)c1ccc([N+](=O)[O-])o1,1,test
O=[N+]([O-])c1ccc2cccc3c2c1C=C3,1,test
O=c1oc2ccc([N+](=O)[O-])c3ccc4cccc1c4c23,1,test
O=[N+]([O-])c1ccc2c(c1)NCC2,1,test
O=[N+]([O-])c1nc2ccccc2[nH]1,1,test
COC(=O)c1cc2c(c3c1c([N+](=O)[O-])cc1c(OC)cccc13)OCO2,1,test
Cc1ccc([N+](=O)[O-])c2c(=NCCCN(C)C)c3ccccc3[nH]c12,1,test
O=[N+]([O-])c1cc2c(ccc3ccccc32)c2c1C=CC(O)C2O,1,test
O=[N+]([O-])c1ccc(Cl)cc1Cl,1,test
O=[N+]([O-])c1cc(Cl)ccc1Cl,1,test
Cc1c(N)cc([N+](=O)[O-])cc1N,1,test
O=[N+]([O-])c1ccc2ccc3cc4c(c5ccc1c2c35)C=CCC4,1,test
O=[N+]([O-])c1ccc2ccc3ccc([N+](=O)[O-])c4c5c(c1c2c34)CCCC5,1,test
O=[N+]([O-])c1ccc2c(c1)oc1ccc([N+](=O)[O-])cc12,1,test
CCN(CCO[N+](=O)[O-])[N+](=O)[O-],1,test
O=C(O)c1cc2c(c3c1c([N+](=O)[O-])cc1ccccc13)OCO2,1,test
O=[N+]([O-])c1ccc(C=Nn2cccn2)o1,1,test
O=C1c2ccccc2-c2cc([N+](=O)[O-])ccc21,1,test
CCCOC(=O)C=Cc1ccc([N+](=O)[O-])o1,1,test
O=[N+]([O-])c1ccc2c(c1)-c1cccc3cccc-2c13,1,test
Nc1cc([N+](=O)[O-])cc(Cl)c1O,1,test
N#CC(C#N)=Cc1ccc([N+](=O)[O-])o1,1,test
CCCCN=C(O)C=Cc1ccc([N+](=O)[O-])o1,1,test
CC(=O)c1ccc([N+](=O)[O-])cc1,1,test
Cc1cccc(N=C(O)c2csc([N+](=O)[O-])c2)c1,1,test
Nc1cc([N+](=O)[O-])ccc1O,1,test
O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2cccc([N+](=O)[O-])c21,1,test
O=C(O)c1c[n+]([O-])c2ccccc2[n+]1[O-],1,test
O=[N+]([O-])c1ccc2ccccc2c1,1,test
O=[N+]([O-])c1cccc2c1ccc1ccccc12,1,test
Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O,1,test
Cc1cccc([N+](=O)[O-])c1[N+](=O)[O-],1,test
Nc1ccc(-c2ccc([N+](=O)[O-])cc2)cc1,1,test
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,1,test
O=[N+]([O-])c1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1,1,test
O=[N+]([O-])c1ccc2c(O)nsc2c1,1,test
O=[N+]([O-])C1=Cc2cc3cc4ccccc4cc3c3cccc1c23,1,test
CC(=O)c1cccn1[N+](=O)[O-],1,test
Nc1ccc(-c2ccc([N+](=O)[O-])cc2N)c([N+](=O)[O-])c1,1,test
O=C(O)C=Cc1ccc([N+](=O)[O-])cc1,1,test
O=[N+]([O-])c1[nH]cnc1-c1ccccc1,1,test
O=[N+]([O-])c1c(-c2ccc(Cl)cc2)nc2n1CCS2,1,test
O=[N+]([O-])c1ccc2c3c(cccc13)C=C2,1,test
O=c1oc2c([N+](=O)[O-])ccc3ccc4cccc1c4c32,1,test
CCN(CC)c1ccc2nc3c4ccccc4c(=[NH2+])cc-3oc2c1,1,test
Cn1c([N+](=O)[O-])nc2ccccc21,1,test
Cc1cc([N+](=O)[O-])c(C)c2c1[nH]c1ccc(O)cc12,1,test
Nc1ccc(-c2ccc(N)c([N+](=O)[O-])c2)cc1,1,test
O=[N+]([O-])c1ccc2c3c1ccc1cccc(c13)C(O)C2O,1,test
O=C(Cl)c1cccc([N+](=O)[O-])c1,1,test
O=C(Cl)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1ccc2ccc3cccc4c5ccccc5c1c2c34,1,test
O=C(Cl)c1ccc([N+](=O)[O-])cc1,1,test
O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)CCC=C4,1,test
O=C(CBr)c1oc([N+](=O)[O-])c(Cl)c1Cl,1,test
O=[N+]([O-])c1ccccc1CCl,1,test
O=C(O)CNC(=O)c1ccc([N+](=O)[O-])cc1,1,test
Nc1cc2c(cc1[N+](=O)[O-])[nH]c1ccccc12,1,test
O=C1c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],1,test
O=C(CBr)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1,1,test
O=[N+]([O-])c1ccc2ccc3cc4c(c5ccc1c2c35)CCCC4,1,test
CC(C)COC(=O)C=Cc1ccc([N+](=O)[O-])o1,1,test
CCC(C)N=C(O)C=Cc1ccc([N+](=O)[O-])o1,1,test
O=[N+]([O-])c1cc([N+](=O)[O-])c2ccccc2c1,1,test
CCCCOC(=O)C=Cc1ccc([N+](=O)[O-])o1,1,test
CC1CN=C(O)N1c1ncc([N+](=O)[O-])s1,1,test
Nc1ccc([N+](=O)[O-])cc1,1,test
CC(=O)c1oc([N+](=O)[O-])c(Cl)c1Cl,1,test
O=[N+]([O-])c1ccc2c([N+](=O)[O-])cc3c([N+](=O)[O-])cccc3c2c1,1,test
Cc1ccccc1N=C(O)c1csc([N+](=O)[O-])c1,1,test
O=[N+]([O-])c1cc2cc3ccc4cccc5ccc(c2o1)c3c45,1,test
O=[N+]([O-])c1ccc2c(c1)sc1ccccc12,1,test
CC(O)=Nc1ccc(C=Nn2nnc3ccnc-3c2O)cc1,1,test
